INDEX,Trial,DrugName,Indications,DrugClass,Approval_FDA,Uniprot,GeneSymbol,Gene,ProteinName,TargetMainClass,TargetClass,Target_Novelty_VALIDATED
1161,LOR-2040,LOR-2040,antineoplastic agent,antisense oligo,not approved,P31350,RIR2_HUMAN,RRM2,Ribonucleoside-diphosphate reductase subunit M2 (EC 1.17.4.1) (Ribonucleotide reductase small chain) (Ribonucleotide reductase small subunit),Enzymes,EC:1.17.4.1,Novel Target
1161,LOR-2040,LOR-2040,antineoplastic agent,antisense oligo,not approved,Q7LG56,RIR2B_HUMAN,RRM2B,Ribonucleoside-diphosphate reductase subunit M2 B (EC 1.17.4.1) (TP53-inducible ribonucleotide reductase M2 B) (p53-inducible ribonucleotide reductase small subunit 2-like protein) (p53R2),Enzymes,EC:1.17.4.1,Novel Target
1162,LOR-253,LOR-253,antineoplastic agent,Small molecule,not approved,Q14872,MTF1_HUMAN,MTF1,Metal regulatory transcription factor 1 (MRE-binding transcription factor) (Transcription factor MTF-1),Miscellaneous,Transcription factor,Novel Target
1163,"loratadine + montelukast sodium,Claritin + Singulair",loratadine,antiasthmatic agent,Small Molecule,approved,P35367,HRH1_HUMAN,HRH1,Histamine H1 receptor OS=Homo sapiens GN=HRH1 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
1163,"loratadine + montelukast sodium,Claritin + Singulair",montelukast,antiasthmatic agent,Small Molecule,approved,Q9Y271,CLTR1_HUMAN,CYSLTR1,Cysteinyl leukotriene receptor 1 OS=Homo sapiens GN=CYSLTR1 PE=2 SV=1,Receptors,GPCR;Rhodopsin,Established target
1164,Lorcaserin,Lorcaserin,antiobesity agent,Small molecule,not approved,P28335,5HT2C_HUMAN,HTR2C,5-hydroxytryptamine receptor 2C OS=Homo sapiens GN=HTR2C PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
1165,Lorvotuzumab,Lorvotuzumab,antineoplastic agent,monoclonal antibody,not approved,P13591,NCAM1_HUMAN,NCAM1,Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56),Miscellaneous,StructuralAndAdhesion;IG_AdhesionProteins,Novel Target
1166,"loteprednol etabonate,Lotemax, Alrex",loteprednol etabonate,"antiinflammatory agent,corticosteroid",Small Molecule,approved,P04150,GCR_HUMAN,NR3C1,Glucocorticoid receptor OS=Homo sapiens GN=NR3C1 PE=1 SV=1,Receptors,Nuclear receptor,Established target
1167,low dose intravenous methamphetamine,methamphetamine,neuroprotectant,Small Molecule,approved,P08913,ADA2A_HUMAN,ADRA2A,Alpha-2A adrenergic receptor OS=Homo sapiens GN=ADRA2A PE=1 SV=3,Receptors,GPCR;Rhodopsin,Established target
1167,low dose intravenous methamphetamine,methamphetamine,neuroprotectant,Small Molecule,approved,P18089,ADA2B_HUMAN,ADRA2B,Alpha-2B adrenergic receptor OS=Homo sapiens GN=ADRA2B PE=2 SV=2,Receptors,GPCR;Rhodopsin,Established target
1167,low dose intravenous methamphetamine,methamphetamine,neuroprotectant,Small Molecule,approved,P18825,ADA2C_HUMAN,ADRA2C,Alpha-2C adrenergic receptor OS=Homo sapiens GN=ADRA2C PE=2 SV=2,Receptors,GPCR;Rhodopsin,Established target
1167,low dose intravenous methamphetamine,methamphetamine,neuroprotectant,Small Molecule,approved,P21397,AOFA_HUMAN,MAOA,Amine oxidase [flavin-containing] A OS=Homo sapiens GN=MAOA PE=1 SV=1,Enzymes,EC:1.4.3.4,Established target
1167,low dose intravenous methamphetamine,methamphetamine,neuroprotectant,Small Molecule,approved,P27338,AOFB_HUMAN,MAOB,Amine oxidase [flavin-containing] B OS=Homo sapiens GN=MAOB PE=1 SV=3,Enzymes,EC:1.4.3,Established target
1167,low dose intravenous methamphetamine,methamphetamine,neuroprotectant,Small Molecule,approved,P54219,VMAT1_HUMAN,SLC18A1,Chromaffin granule amine transporter (Solute carrier family 18 member 1) (Vesicular amine transporter 1) (VAT1),Transporters,TC:2.A.1.2.12,Established target
1167,low dose intravenous methamphetamine,methamphetamine,neuroprotectant,Small Molecule,approved,Q05940,VMAT2_HUMAN,SLC18A2,Synaptic vesicular amine transporter OS=Homo sapiens GN=SLC18A2 PE=1 SV=2,Transporters,TC:2.A.1.2.29,Established target
1167,low dose intravenous methamphetamine,methamphetamine,neuroprotectant,Small Molecule,approved,P23975,SC6A2_HUMAN,SLC6A2,Sodium-dependent noradrenaline transporter OS=Homo sapiens GN=SLC6A2 PE=1 SV=1,Transporters,TC:2.A.22.1.2,Established target
1167,low dose intravenous methamphetamine,methamphetamine,neuroprotectant,Small Molecule,approved,Q01959,SC6A3_HUMAN,SLC6A3,Sodium-dependent dopamine transporter OS=Homo sapiens GN=SLC6A3 PE=1 SV=1,Transporters,TC:2.A.22.1.3,Established target
1167,low dose intravenous methamphetamine,methamphetamine,neuroprotectant,Small Molecule,approved,P31645,SC6A4_HUMAN,SLC6A4,Sodium-dependent serotonin transporter OS=Homo sapiens GN=SLC6A4 PE=1 SV=1,Transporters,TC:2.A.22.1.1,Established target
1167,low dose intravenous methamphetamine,methamphetamine,neuroprotectant,Small Molecule,approved,Q96RJ0,TAAR1_HUMAN,TAAR1,Trace amine-associated receptor 1 (TaR-1) (Trace amine receptor 1),Receptors,GPCR;Rhodopsin,Established target
1168,"lovastatin,Mevacor, Altocor, Altoprev",lovastatin,anticholesterolaemic agent,Small Molecule,approved,P04035,HMDH_HUMAN,HMGCR,3-hydroxy-3-methylglutaryl-coenzyme A reductase OS=Homo sapiens GN=HMGCR PE=1 SV=1,Enzymes,EC:1.1.1.34,Established target
1169,Lovenox,enoxaparin,anticoagulant,Small Molecule,approved,P00734,THRB_HUMAN,F2,Prothrombin OS=Homo sapiens GN=F2 PE=1 SV=2,Enzymes,EC:3.4.21.5,Established target
1170,Lu 02-750,Lu 02-750,antiparkinson agent,unknown,not approved,P21728,DRD1_HUMAN,DRD1,D(1A) dopamine receptor OS=Homo sapiens GN=DRD1 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
1170,Lu 02-750,Lu 02-750,antiparkinson agent,unknown,not approved,P14416,DRD2_HUMAN,DRD2,D(2) dopamine receptor OS=Homo sapiens GN=DRD2 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
1170,Lu 02-750,Lu 02-750,antiparkinson agent,unknown,not approved,P35462,DRD3_HUMAN,DRD3,D(3) dopamine receptor OS=Homo sapiens GN=DRD3 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
1170,Lu 02-750,Lu 02-750,antiparkinson agent,unknown,not approved,P21917,DRD4_HUMAN,DRD4,D(4) dopamine receptor OS=Homo sapiens GN=DRD4 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
1170,Lu 02-750,Lu 02-750,antiparkinson agent,unknown,not approved,P21918,DRD5_HUMAN,DRD5,D(1B) dopamine receptor OS=Homo sapiens GN=DRD5 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
1171,Lu AA21004,vortioxetine,antidepressant,small molecule,not approved,P08908,5HT1A_HUMAN,HTR1A,5-hydroxytryptamine receptor 1A OS=Homo sapiens GN=HTR1A PE=1 SV=3,Receptors,GPCR;Rhodopsin,Established target
1171,Lu AA21004,vortioxetine,antidepressant,small molecule,not approved,P28222,5HT1B_HUMAN,HTR1B,5-hydroxytryptamine receptor 1B OS=Homo sapiens GN=HTR1B PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
1171,Lu AA21004,vortioxetine,antidepressant,small molecule,not approved,P46098,5HT3A_HUMAN,HTR3A,5-hydroxytryptamine receptor 3A OS=Homo sapiens GN=HTR3A PE=1 SV=1,Receptors,TC:1.A.9.2.1,Established target
1171,Lu AA21004,vortioxetine,antidepressant,small molecule,not approved,P34969,5HT7R_HUMAN,HTR7,5-hydroxytryptamine receptor 7 OS=Homo sapiens GN=HTR7 PE=2 SV=2,Receptors,GPCR;Rhodopsin,Established target
1171,Lu AA21004,vortioxetine,antidepressant,small molecule,not approved,P31645,SC6A4_HUMAN,SLC6A4,Sodium-dependent serotonin transporter OS=Homo sapiens GN=SLC6A4 PE=1 SV=1,Transporters,TC:2.A.22.1.1,Established target
1172,Lu AA24493,Lu AA24493,neuroprotectant,protein,not approved,P19235,EPOR_HUMAN,EPOR,Erythropoietin receptor OS=Homo sapiens GN=EPOR PE=1 SV=1,Receptors,Receptor; Type 1 cytokine receptor,Established target
1173,Lu AA24530,Tedatioxetine,antidepressant,small molecule,not approved,P35348,ADA1A_HUMAN,ADRA1A,Alpha-1A adrenergic receptor OS=Homo sapiens GN=ADRA1A PE=2 SV=2,Receptors,GPCR;Rhodopsin,Established target
1173,Lu AA24530,Tedatioxetine,antidepressant,small molecule,not approved,P28335,5HT2C_HUMAN,HTR2C,5-hydroxytryptamine receptor 2C OS=Homo sapiens GN=HTR2C PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
1173,Lu AA24530,Tedatioxetine,antidepressant,small molecule,not approved,P28335,5HT2C_HUMAN,HTR2C,5-hydroxytryptamine receptor 2C OS=Homo sapiens GN=HTR2C PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
1173,Lu AA24530,Tedatioxetine,antidepressant,small molecule,not approved,P46098,5HT3A_HUMAN,HTR3A,5-hydroxytryptamine receptor 3A OS=Homo sapiens GN=HTR3A PE=1 SV=1,Receptors,TC:1.A.9.2.1,Established target
1173,Lu AA24530,Tedatioxetine,antidepressant,small molecule,not approved,P23975,SC6A2_HUMAN,SLC6A2,Sodium-dependent noradrenaline transporter OS=Homo sapiens GN=SLC6A2 PE=1 SV=1,Transporters,TC:2.A.22.1.2,Established target
1173,Lu AA24530,Tedatioxetine,antidepressant,small molecule,not approved,Q01959,SC6A3_HUMAN,SLC6A3,Sodium-dependent dopamine transporter OS=Homo sapiens GN=SLC6A3 PE=1 SV=1,Transporters,TC:2.A.22.1.3,Established target
1173,Lu AA24530,Tedatioxetine,antidepressant,small molecule,not approved,P31645,SC6A4_HUMAN,SLC6A4,Sodium-dependent serotonin transporter OS=Homo sapiens GN=SLC6A4 PE=1 SV=1,Transporters,TC:2.A.22.1.1,Established target
1175,Lu AE04621,Lu AE04621,antiparkinson agent,unknown,not approved,P21728,DRD1_HUMAN,DRD1,D(1A) dopamine receptor OS=Homo sapiens GN=DRD1 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
1175,Lu AE04621,Lu AE04621,antiparkinson agent,unknown,not approved,P14416,DRD2_HUMAN,DRD2,D(2) dopamine receptor OS=Homo sapiens GN=DRD2 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
1175,Lu AE04621,Lu AE04621,antiparkinson agent,unknown,not approved,P35462,DRD3_HUMAN,DRD3,D(3) dopamine receptor OS=Homo sapiens GN=DRD3 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
1175,Lu AE04621,Lu AE04621,antiparkinson agent,unknown,not approved,P21917,DRD4_HUMAN,DRD4,D(4) dopamine receptor OS=Homo sapiens GN=DRD4 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
1175,Lu AE04621,Lu AE04621,antiparkinson agent,unknown,not approved,P21918,DRD5_HUMAN,DRD5,D(1B) dopamine receptor OS=Homo sapiens GN=DRD5 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
1176,LU-31130,zicronapine,antipsychotic agent,small molecule,not approved,P21917,DRD4_HUMAN,DRD4,D(4) dopamine receptor OS=Homo sapiens GN=DRD4 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
1177,"Lu-AE58054 , LY-483518, SGS518",Lu-AE58054,antipsychotic agent,Small molecule,not approved,P50406,5HT6R_HUMAN,HTR6,5-hydroxytryptamine receptor 6 OS=Homo sapiens GN=HTR6 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
1178,Lubiprostone,Lubiprostone,"motilitant,for treatment of irritable bowel disorder",Small Molecule,approved,P51788,CLCN2_HUMAN,CLCN2,Chloride channel protein 2 OS=Homo sapiens GN=CLCN2 PE=1 SV=1,Transporters,TC:2.A.49,Established target
1179,"lucatumumab , HCD122, CHIR-12.12",lucatumumab ,antineoplastic agent,monoclonal antibody,not approved,P25942,TNR5_HUMAN,CD40,Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (Bp50) (CD40L receptor) (CDw40) (CD antigen CD40),Receptors,Receptors;TNFNGF,Novel Target
1180,Lucentis,ranibizumab,for treatment of age-related macular degeneration,antibody fragment,approved,P15692,VEGFA_HUMAN,VEGFA,Vascular endothelial growth factor A OS=Homo sapiens GN=VEGFA PE=1 SV=2,Ligand,Ligand;Growth factor,Established target
1181,"lumiliximab , IDEC-152",lumiliximab,"antineoplastic agent,antiinflammatory agent",monoclonal antibody,not approved,P06734,FCER2_HUMAN,FCER2,Low affinity immunoglobulin epsilon Fc receptor (BLAST-2) (C-type lectin domain family 4 member J) (Fc-epsilon-RII) (Immunoglobulin E-binding factor) (Lymphocyte IgE receptor) (CD antigen CD23) [Cleaved into: Low affinity immunoglobulin epsilon Fc recepto,Receptors,Receptor;immunoglobulin,Novel Target
1182,"lumiracoxib, COX 189,Prexige",lumiracoxib,NSAID,Small Molecule,not approved,P35354,PGH2_HUMAN,PTGS2,Prostaglandin G/H synthase 2 OS=Homo sapiens GN=PTGS2 PE=1 SV=2,Enzymes,EC:1.14.99.1,Established target
1183,Lunesta,eszopiclone,hypnotic,Small molecule,approved,P14867,GBRA1_HUMAN,GABRA1,Gamma-aminobutyric acid receptor subunit alpha-1 OS=Homo sapiens GN=GABRA1 PE=1 SV=3,Receptors,TC:1.A.9,Established target
1183,Lunesta,eszopiclone,hypnotic,Small molecule,approved,P47869,GBRA2_HUMAN,GABRA2,Gamma-aminobutyric acid receptor subunit alpha-2 OS=Homo sapiens GN=GABRA2 PE=2 SV=2,Receptors,TC:1.A.9.5.2,Established target
1183,Lunesta,eszopiclone,hypnotic,Small molecule,approved,P34903,GBRA3_HUMAN,GABRA3,Gamma-aminobutyric acid receptor subunit alpha-3 OS=Homo sapiens GN=GABRA3 PE=1 SV=1,Receptors,TC:1.A.9,Established target
1183,Lunesta,eszopiclone,hypnotic,Small molecule,approved,P31644,GBRA5_HUMAN,GABRA5,Gamma-aminobutyric acid receptor subunit alpha-5 OS=Homo sapiens GN=GABRA5 PE=1 SV=1,Receptors,TC:1.A.9,Established target
1183,Lunesta,eszopiclone,hypnotic,Small molecule,approved,P30536,TSPOA_HUMAN,TSPO,Translocator protein (Mitochondrial benzodiazepine receptor) (PKBS) (Peripheral-type benzodiazepine receptor) (PBR),Transporters,"Miscellaneous; benzodiazepine translocator protein,",Established target
1184,"lurasidone, SM-13496,Latuda",lurasidone,antipsychotic agent,Small molecule,approved,P18825,ADA2C_HUMAN,ADRA2C,Alpha-2C adrenergic receptor OS=Homo sapiens GN=ADRA2C PE=2 SV=2,Receptors,GPCR;Rhodopsin,Established target
1184,"lurasidone, SM-13496,Latuda",lurasidone,antipsychotic agent,Small molecule,approved,P14416,DRD2_HUMAN,DRD2,D(2) dopamine receptor OS=Homo sapiens GN=DRD2 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
1184,"lurasidone, SM-13496,Latuda",lurasidone,antipsychotic agent,Small molecule,approved,P08908,5HT1A_HUMAN,HTR1A,5-hydroxytryptamine receptor 1A OS=Homo sapiens GN=HTR1A PE=1 SV=3,Receptors,GPCR;Rhodopsin,Established target
1184,"lurasidone, SM-13496,Latuda",lurasidone,antipsychotic agent,Small molecule,approved,P28223,5HT2A_HUMAN,HTR2A,5-hydroxytryptamine receptor 2A OS=Homo sapiens GN=HTR2A PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
1184,"lurasidone, SM-13496,Latuda",lurasidone,antipsychotic agent,Small molecule,approved,P34969,5HT7R_HUMAN,HTR7,5-hydroxytryptamine receptor 7 OS=Homo sapiens GN=HTR7 PE=2 SV=2,Receptors,GPCR;Rhodopsin,Established target
1185,LX1031,LX1031,for treatment of irritable bowel syndrome,Small molecule,not approved,P17752,TPH1_HUMAN,TPH1,Tryptophan 5-hydroxylase 1 OS=Homo sapiens GN=TPH1 PE=1 SV=4,Enzymes,EC:1.14.16.4,Established target
1186,LX1032,LX1032,for treatment of carcinoid syndrome,Small molecule,not approved,P17752,TPH1_HUMAN,TPH1,Tryptophan 5-hydroxylase 1 OS=Homo sapiens GN=TPH1 PE=1 SV=4,Enzymes,EC:1.14.16.4,Established target
1187,"LX201, cyclosporine A implant,Lumitect",cyclosporine A,"immunosuppressant,opthalmological agent",Small molecule,approved,P49069,CAMLG_HUMAN,CAMLG,Calcium signal-modulating cyclophilin ligand (CAML),Miscellaneous,Miscellaneous:target for cyclosporine,Established target
1187,"LX201, cyclosporine A implant,Lumitect",cyclosporine A,"immunosuppressant,opthalmological agent",Small molecule,approved,Q96LZ3,CANB2_HUMAN,PPP3R2,Calcineurin subunit B type 2 OS=Homo sapiens GN=PPP3R2 PE=2 SV=3,Miscellaneous,Enzyme regulator,Established target
1188,LX4211,LX4211,antidiabetic,Small molecule,not approved,P13866 ,SC5A1_HUMAN,SLC5A1,Sodium/glucose cotransporter 1,Transporters,TC:2.A.21.3.16,Novel Target
1188,LX4211,LX4211,antidiabetic,Small molecule,not approved,P31639,SC5A2_HUMAN,SLC5A2,Sodium/glucose cotransporter 2 (Na(+)/glucose cotransporter 2) (Low affinity sodium-glucose cotransporter) (Solute carrier family 5 member 2),Transporters,TC:2.A.21.3.16,Established target
1189,LY2127399,LY2127399,"antiinflammatory agent,DMARD",monoclonal antibody,not approved,Q9Y275,TN13B_HUMAN,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B (B lymphocyte stimulator) (BLyS) (B-cell-activating factor) (BAFF) (Dendritic cell-derived TNF-like molecule) (TNF- and APOL-related leukocyte expressed ligand 1) (TALL-1) (CD antigen CD257) [Cleaved int,Miscellaneous,Ligand;Cytokine,Established target
1190,LY2140023,LY2140023,antipsychotic agent,Small molecule,not approved,Q14416,GRM2_HUMAN,GRM2,Metabotropic glutamate receptor 2 (mGluR2),Receptors,GPCR;Glutamate,Novel Target
1190,LY2140023,LY2140023,antipsychotic agent,Small molecule,not approved,Q14832,GRM3_HUMAN,GRM3,Metabotropic glutamate receptor 3 (mGluR3),Receptors,GPCR;Glutamate,Novel Target
1191,LY2181308,LY2181308,antineoplastic agent,antisense oligo,not approved,O15392,BIRC5_HUMAN,BIRC5,Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin),Miscellaneous,Inhibitor of apoptosis,Novel Target
1192,LY-2189265,LY-2189265,antidiabetic,peptide,not approved,P43220,GLP1R_HUMAN,GLP1R,Glucagon-like peptide 1 receptor OS=Homo sapiens GN=GLP1R PE=1 SV=1,Receptors,GPCR;Secretin,Established target
1193,LY-2216684,LY-2216684,"antidepressant,for treatment of ADHD",unknown,not approved,P23975,SC6A2_HUMAN,SLC6A2,Sodium-dependent noradrenaline transporter OS=Homo sapiens GN=SLC6A2 PE=1 SV=1,Transporters,TC:2.A.22.1.2,Established target
1194,LY2275796,LY2275796,antineoplastic agent,antisense oligo,not approved,P06730,IF4E_HUMAN,EIF4E,Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein),Miscellaneous,TIF_eIF4e,Novel Target
1195,"LY-2599506, PSN-010",LY-2599506,antidiabetic,unknown,not approved,P35557,HXK4_HUMAN,GCK,Glucokinase (EC 2.7.1.2) (Hexokinase type IV) (HK IV) (Hexokinase-4) (HK4) (Hexokinase-D),Enzymes,EC:2.7.1.2,Novel Target
1196,"LY3009104, INCB28050",LY3009104,"antiinflammatory agent,DMARD",Small molecule,not approved,P23458,JAK1_HUMAN,JAK1,Tyrosine-protein kinase JAK1 (EC 2.7.10.2) (Janus kinase 1) (JAK-1),Enzymes,EC:2.7.10.2,Novel Target
1196,"LY3009104, INCB28050",LY3009104,"antiinflammatory agent,DMARD",Small molecule,not approved,O60674,JAK2_HUMAN,JAK2,Tyrosine-protein kinase JAK2 (EC 2.7.10.2) (Janus kinase 2) (JAK-2),Enzymes,EC:2.7.10.2,Novel Target
1197,LY-450139,semagacestat,for treatment of Alzheimer's disease,small molecule,not approved,P46976,PSN1_HUMAN,PSEN1,Presenilin-1,Enzymes,EC:3.4.23.-,Novel Target
1197,LY-450139,semagacestat,for treatment of Alzheimer's disease,small molecule,not approved,P49810,PSN2_HUMAN,PSEN2,Presenilin-2,Enzymes,EC:3.4.23.-,Novel Target
1198,LY-517717,LY-517717,anticoagulant,Small molecule,not approved,P00742,FA10_HUMAN,F10,Coagulation factor X OS=Homo sapiens GN=F10 PE=1 SV=2,Enzymes,EC:3.4.21.6,Established target
1199,"LY519818 , LY818",naveglitazar ,antidiabetic,Small molecule,not approved,Q07869,PPARA_HUMAN,PPARA,Peroxisome proliferator-activated receptor alpha OS=Homo sapiens GN=PPARA PE=1 SV=2,Receptors,Nuclear receptor,Established target
1199,"LY519818 , LY818",naveglitazar ,antidiabetic,Small molecule,not approved,P37231,PPARG_HUMAN,PPARG,Peroxisome proliferator-activated receptor gamma OS=Homo sapiens GN=PPARG PE=1 SV=3,Receptors,Nuclear receptor,Established target
1200,LY-674,LY-674,anticholesterolaemic agent,Small molecule,not approved,Q07869,PPARA_HUMAN,PPARA,Peroxisome proliferator-activated receptor alpha OS=Homo sapiens GN=PPARA PE=1 SV=2,Receptors,Nuclear receptor,Established target
1201,LymphoCide,epratuzumab,antineoplastic agent,monoclonal antibody,not approved,P20273,CD22_HUMAN,CD22,B-cell receptor CD22 OS=Homo sapiens GN=CD22 PE=1 SV=2,Miscellaneous,StructuralAndAdhesion;IG_AdhesionProteins,Established target
1202,LymphoRad,LymphoRad,antineoplastic agent,protein,not approved,O14836,TR13B_HUMAN,TNFRSF13B,Tumor necrosis factor receptor superfamily member 13B,,Receptors;TNFNGF,Novel Target
1202,LymphoRad,LymphoRad,antineoplastic agent,protein,not approved,Q96RJ3,TR13C_HUMAN,TNFRSF13C,Tumor necrosis factor receptor superfamily member 13C,Receptors,Miscellaneous;TNFR,Novel Target
1202,LymphoRad,LymphoRad,antineoplastic agent,protein,not approved,Q02223,TNR17_HUMAN,TNFRSF17,Tumor necrosis factor receptor superfamily member 17,Miscellaneous,Miscellaneous;TNF,Novel Target
1204,M0002,M0002,for treatemnt of ascites,Small molecule,not approved,P30518,V2R_HUMAN,AVPR2,Vasopressin V2 receptor OS=Homo sapiens GN=AVPR2 PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
1205,M118 ,heparin,anticoagulant,Small Molecule,approved,P00742,FA10_HUMAN,F10,Coagulation factor X OS=Homo sapiens GN=F10 PE=1 SV=2,Enzymes,EC:3.4.21.6,Established target
1205,M118 ,heparin,anticoagulant,Small Molecule,approved,Q9Y251,HPSE_HUMAN,HPSE,Heparanase (EC 3.2.-.-) (Endo-glucoronidase) (Heparanase-1) (Hpa1) [Cleaved into: Heparanase 8 kDa subunit; Heparanase 50 kDa subunit],Enzymes,EC:3.2.-.-,Established target
1205,M118 ,heparin,anticoagulant,Small Molecule,approved,P01008,ANT3_HUMAN,SERPINC1,Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1,Miscellaneous,Enzyme regulator,Established target
1207,"M6G, CEE 04-410",morphine,analgesic,Small Molecule,approved,P41143,OPRD_HUMAN,OPRD1,Delta-type opioid receptor OS=Homo sapiens GN=OPRD1 PE=1 SV=3,Receptors,GPCR;Rhodopsin,Established target
1207,"M6G, CEE 04-410",morphine,analgesic,Small Molecule,approved,P41145,OPRK_HUMAN,OPRK1,Kappa-type opioid receptor OS=Homo sapiens GN=OPRK1 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
1207,"M6G, CEE 04-410",morphine,analgesic,Small Molecule,approved,P35372,OPRM_HUMAN,OPRM1,Mu-type opioid receptor OS=Homo sapiens GN=OPRM1 PE=2 SV=2,Receptors,GPCR;Rhodopsin,Established target
1208,MABT5102A,MABT5102A,for treatment of Alzheimer's disease,monoclonal antibody,not approved,P05067,A4_HUMAN,APP,Amyloid beta A4 protein (ABPP) (APPI) (APP) (Alzheimer disease amyloid protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-,Miscellaneous,Miscellaneous:Amyloid beta 4,Novel Target
1209,"macitentan , ACT-064992",macitentan,cardiovascular agent,Small molecule,not approved,P25101,EDNRA_HUMAN,EDNRA,Endothelin-1 receptor OS=Homo sapiens GN=EDNRA PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
1210,"macitentan, ACT-064992",macitentan,cardiovascular agent,Small molecule,not approved,P24530,EDNRB_HUMAN,EDNRB,Endothelin B receptor OS=Homo sapiens GN=EDNRB PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
1211,Macugen,pegaptanib,for treatment of age-related macular degeneration,aptamer,approved,P15692,VEGFA_HUMAN,VEGFA,Vascular endothelial growth factor A OS=Homo sapiens GN=VEGFA PE=1 SV=2,Ligand,Ligand;Growth factor,Established target
1212,"MAGE-A3 ASCI, SB-249553, antigen specific cancer immunMiscellaneousap/",MAGE-A3,antineoplastic agent,vaccine,not approved,P43357,MAGA3_HUMAN,MAGEA3,Melanoma-associated antigen 3 (Antigen MZ2-D) (Cancer/testis antigen 1.3) (CT1.3) (MAGE-3 antigen),Miscellaneous,Troponin,Novel Target
1214,"MAP-0004, TEMPO Migraine,Levadex",dihydroergotamine,antimigraine agent,Small Molecule,approved,P28222,5HT1B_HUMAN,HTR1B,5-hydroxytryptamine receptor 1B OS=Homo sapiens GN=HTR1B PE=1 SV=1,Receptors,GPCR;Rhodopsin,Established target
1214,"MAP-0004, TEMPO Migraine,Levadex",dihydroergotamine,antimigraine agent,Small Molecule,approved,P28221,5HT1D_HUMAN,HTR1D,5-hydroxytryptamine receptor 1D OS=Homo sapiens GN=HTR1D PE=2 SV=1,Receptors,GPCR;Rhodopsin,Established target
1215,MAP-0005,budesonide,"antiinflammatory agent,glucocorticoid",Small Molecule,approved,P04150,GCR_HUMAN,NR3C1,Glucocorticoid receptor OS=Homo sapiens GN=NR3C1 PE=1 SV=1,Receptors,Nuclear receptor,Established target
1215,MAP-0005,formoterol,bronchodilator,Small Molecule,approved,P07550,ADRB2_HUMAN,ADRB2,Beta-2 adrenergic receptor OS=Homo sapiens GN=ADRB2 PE=1 SV=2,Receptors,GPCR;Rhodopsin,Established target
1216,"MAP-0010, Unit Dose Budesonide",budesonide,"antiinflammatory agent,glucocorticoid",Small Molecule,approved,P04150,GCR_HUMAN,NR3C1,Glucocorticoid receptor OS=Homo sapiens GN=NR3C1 PE=1 SV=1,Receptors,Nuclear receptor,Established target
1217,MAR701,MAR701,antidiabetic,peptide,not approved,P48546,GIPR_HUMAN,GIPR,Gastric inhibitory polypeptide receptor (GIP-R) (Glucose-dependent insulinotropic polypeptide receptor),Receptors,GPCR;Secretin,Novel Target
1217,MAR701,MAR701,antidiabetic,peptide,not approved,P43220,GLP1R_HUMAN,GLP1R,Glucagon-like peptide 1 receptor OS=Homo sapiens GN=GLP1R PE=1 SV=1,Receptors,GPCR;Secretin,Established target
1218,"masitinib, AB1010",masitinib,"antiinflammatory agent,DMARD,antineoplastic agent",Small molecule,not approved,P00519,ABL1_HUMAN,ABL1,Proto-oncogene tyrosine-protein kinase ABL1 OS=Homo sapiens GN=ABL1 PE=1 SV=4,Enzymes,EC:2.7.10.2,Established target
