GeneCard,Gene Name,Locus,Disorders
,,,"Malaria, cerebral, susceptibility to [MIM:611162]"
,,,"Septic shock, susceptibility to"
,,,"Asthma, susceptibility to [MIM:600807]"
,,,"Dementia, vascular, susceptibility to"
,,,"Migraine without aura, susceptibility to [MIM:157300]"
,,,
MBD1,methyl-CpG binding domain protein 1 ,18q21.1,
,,,mutations
,,,
MBD3,methyl-CpG binding domain protein 3 ,19p13.3,
,,,mutations
,,,
MBD4,methyl-CpG binding domain protein 4 ,3q21-q22,
,,,mutations
,,,
MBD5,methyl-CpG binding domain protein 5 ,2q23.1,
,,,"Mental retardation, autosomal dominant 1 [MIM:156200]"
,,,
MBL2,"mannose-binding lectin (protein C) 2, soluble ",10q11.2-q21,
,,,Mannose-binding protein deficiency
,,,"Diabetes mellitus, gestational, susceptibility to"
,,,"Meningococcal disease, susceptibility to"
,,,"Chronic infections, due to MBL deficiency"
,,,"Preterm delivery, susceptibility to (3) 14"
,,,
MBS1,Moebius syndrome 1 ,13q12.2-q13,
,,,Moebius syndrome
,,,
MBS2,Moebius syndrome 2 ,3q21-q22,
,,,"Facial paresis, hereditary congenital, 1"
,,,
MBS3,Moebius syndrome 3 ,10q21.3-q22.1,
,,,Moebius syndrome-3
,,,
MBTPS2,"membrane-bound transcription factor peptidase, site 2 ",Xp22.12-p22.11,
,,,"Ichthyosis follicularis, atrichia, and photophobia syndrome [MIM:308205]"
,,,
MB,myoglobin ,22q11.2-q13,
,,,mutations
,,,
MC1R,melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor) ,16q24.3,
,,,"Skin/hair/eye pigmentation 2, red hair/fair skin [MIM:266300]"
,,,"Skin/hair/eye pigmentation 2, blond hair/fair skin [MIM:266300]"
,,,Melanoma susceptibility 5 [MIM:613099]
,,,"Analgesia from kappa-opioid receptor agonist, female-specific [MIM:613098]"
,,,"Oculocutaneous albinism, type II, modifier of,0 [MIM:203200]"
,,,UV-induced skin damage [MIM:266300]
,,,
MC2R,melanocortin 2 receptor (adrenocorticotropic hormone) ,18p11.2,
,,,"Glucocorticoid deficiency, due to ACTH unresponsiveness [MIM:202200]"
,,,
MC3R,melanocortin 3 receptor ,20q13.2,
,,,"Obesity, severe, susceptibility to, BMIQ9 [MIM:602025]"
,,,"Mycobacterium tuberculosis, protection against [MIM:607948]"
,,,
MC4R,melanocortin 4 receptor ,18q22,
,,,"Obesity, autosomal dominant [MIM:601665]"
,,,
MCCC1,methylcrotonoyl-CoA carboxylase 1 (alpha) ,3q25-q27,
,,,3-Methylcrotonyl-CoA carboxylase 1 deficiency [MIM:210200]
,,,
MCCC2,methylcrotonoyl-CoA carboxylase 2 (beta) ,5q12-q13,
,,,3-Methylcrotonyl-CoA carboxylase 2 deficiency [MIM:210210]
,,,
MCC,mutated in colorectal cancers ,5q21,
,,,Colorectal cancer
,,,
MCDR1,"macular dystrophy, retinal, 1 (North Carolina type) ",6q14-q16.2,
,,,"Macular dystrophy, North Carolina type"
,,,
MCDR3,"macular dystrophy, retinal 3 ",5p15.33-p13.1,
,,,"Macular dystrophy, retinal, 3"
,,,
MCEE,methylmalonyl CoA epimerase ,2p13.3,
,,,Methylmalonyl-CoA epimerase deficiency [MIM:251120]
,,,
MCF2L2,MCF.2 cell line derived transforming sequence-like 2 ,?,
,,,mutations
,,,
MCFD2,multiple coagulation factor deficiency 2 ,2p21-p16.3,
,,,"Factor V and factor VIII, combined deficiency of [MIM:613625]"
,,,
MCHR1,melanin-concentrating hormone receptor 1 ,22q13.3,
,,,mutations
,,,
MCI2,"Myocardial infarction, susceptiblity to, 2 ",13q12,
,,,"Myocardial infarction, susceptibility to, 2"
,,,
MCKD1,medullary cystic kidney disease 1 (autosomal dominant) ,1q21,
,,,Medullary cystic kidney disease 1
,,,
MCKD2,medullary cystic kidney disease 2 (autosomal dominant) ,16p12.3,
,,,"Hyperuricemic nephropathy, familial juvenile 1 [MIM:162000]"
,,,Medullary cystic kidney disease 2 [MIM:603860]
,,,Glomerulocystic kidney disease with hyperuricemia and isosthenuria [MIM:609886]
,,,
MCL1,myeloid cell leukemia sequence 1 (BCL2-related) ,1q21,
,,,mutations
,,,
MCM3AP,minichromosome maintenance complex component 3 associated protein ,21q22.3,
,,,mutations
,,,
MCM4,minichromosome maintenance complex component 4 ,8q11.2,
,,,mutations
,,,
MCM5,minichromosome maintenance complex component 5 ,22q13.1,
,,,mutations
,,,
MCM6,minichromosome maintenance complex component 6 ,2q21,
,,,Lactase persistance/nonpersistance [MIM:223100]
,,,
MCOLN1,mucolipin 1 ,19p13.3-p13.2,
,,,Mucolipidosis IV [MIM:252650]
,,,
MCOP,"microphthalmia, autosomal recessive ",14q32,
,,,"Microphthalmia, isolated 1"
,,,
MCOR,"microcoria, congenital ",13q31-q32,
,,,"Microcoria, congenital"
,,,
MCPH1,microcephalin 1 ,8p23,
,,,"Microcephaly, primary autosomal recessive, 1 [MIM:251200]"
,,,Premature chromosome condensation with microcephaly and mental retardation [MIM:606858]
,,,
MCS,Miles-Carpenter X-linked mental retardation syndrome ,Xq13-q22,
,,,"Mental retardation, X-linked, syndromic-4, with congenital contractures and low fingertip arches"
,,,
MDC1B,"Muscular dystrophy, congenital, 1B ",1q42,
,,,"Muscular dystrophy, congenital, 1B"
,,,
MDD1,Major depressive disorder ,12q22-q23.2,
,,,Major depressive disorder 1 [MIM:608516]
,,,
MDD2,Major depressive disorder 2 ,15q25.3-q26.2,
,,,Major depressive disorder 2 [MIM:608516]
,,,
MDH1,"malate dehydrogenase 1, NAD (soluble) ",2p16,
,,,mutations
,,,
MDM2,"Mdm2, p53 E3 ubiquitin protein ligase homolog (mouse) ",12q14.3-q15,
,,,"Accelerated tumor formation, susceptibility to"
,,,
MDM4,Mdm4 p53 binding protein homolog (mouse) ,1q32,
,,,mutations
,,,
MDN1,"MDN1, midasin homolog (yeast) ",?,
,,,mutations
,,,
MDNS,Mammary-digital-nail syndrome ,22q12.3-q13.1,
,,,Mammary-digital-nail syndrome
,,,
MDP1,magnesium-dependent phosphatase 1 ,2p12-p11.2,
,,,"Surfactant metabolism dysfunction, pulmonary, 1 [MIM:265120]"
,,,
MDRV,"muscular dystrophy, with rimmed vacuoles ",19p13.3,
,,,Muscular dystrophy with rimmed vacuoles
,,,
ME2,"malic enzyme 2, NAD(+)-dependent, mitochondrial ",18q21,
,,,"Epilepsy, idiopathic generalized, susceptibility to [MIM:600669]"
,,,"Opioid dependence, susceptibility to [MIM:610064]"
,,,
MEB,muscle-eye-brain disease ,1p34-p33,
,,,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3 [MIM:253280]"
,,,"Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 3 [MIM:613151]"
,,,"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 3 [MIM:613157]"
,,,
MECOM,MDS1 and EVI1 complex locus ,3q26,
,,,3q21q26 syndrome
,,,
MECP2,methyl CpG binding protein 2 (Rett syndrome) ,Xq28,
,,,Rett syndrome [MIM:312750]
,,,"Mental retardation, X-linked, syndromic 13 [MIM:300055]"
,,,"Rett syndrome, preserved speech variant [MIM:312750]"
,,,"Encephalopathy, neonatal severe [MIM:300673]"
,,,"Autism susceptibility, X-linked 3 [MIM:300496]"
,,,Angelman syndrome [MIM:105830]
,,,"Mental retardation, X-linked, Lubs type [MIM:300260]"
,,,
MED12,mediator complex subunit 12 ,Xq13,
,,,Opitz-Kaveggia syndrome [MIM:305450]
,,,Lujan-Fryns syndrome [MIM:309520]
,,,
MED13L,mediator complex subunit 13-like ,12q24,
,,,"Transposition of the great arteries, dextro-looped 1 [MIM:608808]"
,,,
MED13,mediator complex subunit 13 ,17q22-q23,
,,,mutations
,,,
MED17,mediator complex subunit 17 ,11q21,
,,,"Microcephaly, postnatal progressive, with seizures and brain atrophy [MIM:613668]"
,,,
MED23,mediator complex subunit 23 ,?,
,,,mutations
,,,
MED25,mediator complex subunit 25 ,19q13.3,
,,,"Charcot-Marie-Tooth disease, type 2B2 [MIM:605589]"
,,,
MEF2A,myocyte enhancer factor 2A ,15q26,
,,,"Coronary artery disease, autosomal dominant, 1 [MIM:608320]"
,,,
MEF2C,myocyte enhancer factor 2C ,5q14,
,,,"Mental retardation, stereotypic movements, epilepsy, and/or cerebral malformations [MIM:613443]"
,,,Chromosome 5q14.3 deletion syndrome [MIM:613443]
,,,
MEFV,Mediterranean fever ,16p13,
,,,"Familial Mediterranean fever, AR [MIM:249100]"
,,,"Familial Mediterranean fever, AD [MIM:134610]"
,,,
MEGF10,multiple EGF-like-domains 10 ,5q23.2,
,,,mutations
,,,
MEGF11,multiple EGF-like-domains 11 ,15q22.31,
,,,mutations
,,,
MEHMO,"mental retardation, epileptic seizures, hypogonadism and -genitalism, microcephaly and obesity syndrome ",Xp22.13-p21.1,
,,,MEHMO syndrome
,,,
MEIS1,Meis homeobox 1 ,2p14-p13,
,,,mutations
,,,
MEIS2,Meis homeobox 2 ,15q14-q25,
,,,mutations
,,,
MEN1,multiple endocrine neoplasia I ,11q13,
,,,Multiple endocrine neoplasia 1 [MIM:131100]
,,,Carcinoid tumor of lung
,,,"Parathyroid adenoma, somatic"
,,,"Lipoma, somatic"
,,,"Angiofibroma, somatic"
,,,"Adrenal adenoma, somatic"
,,,
MENAQ1,"Menarche, age at, QTL ",22q13,
,,,"Menarche, age at, QTL"
,,,
MENAQ2,"Menarche, age at, QTL2 ",6q21,
,,,"Menarche, age at, QTL2"
,,,
MENAQ3,"Menarche, age at, QTL3 ",9q31.2,
,,,"Menarche, age at, QTL3"
,,,
MENOQ1,"menopause, natural, age at, QTL ",Xp21.3,
,,,"Menopause, natural, age at, QTL1"
,,,
MENOQ2,"Menopause, natural, age at, QTL2 ",19q13.4,
,,,"Menopause, natural, age at, QTL2"
,,,
MENOQ3,"Menopause, natural, age at, QTL3 ",20p12.3,
,,,"Menopause, natural, age at, QTL3"
,,,
MENOQ4,"Menopause, natural, age at, QTL4 ",5q35.2,
,,,"Menopause, natural, age at, QTL4"
,,,
MEP1B,"meprin A, beta ",18q12.2-q12.3,
,,,mutations
,,,
MERTK,c-mer proto-oncogene tyrosine kinase ,2q14.1,
,,,Retinitis pigmentosa-38 [MIM:268000]
,,,
MESDC2,mesoderm development candidate 2 ,15,
,,,mutations
,,,
MESP2,mesoderm posterior 2 homolog (mouse) ,15q26.1,
,,,"Spondylocostal dysostosis, autosomal recessive 2 [MIM:608681]"
,,,
MEST,mesoderm specific transcript homolog (mouse) ,7q32,
,,,mutations
,,,
MET,met proto-oncogene (hepatocyte growth factor receptor) ,7q31,
,,,"Renal cell carcinoma, papillary, familial and sporadic [MIM:605074]"
,,,"Hepatocellular carcinoma, childhood type [MIM:114550]"
,,,Autism suseptibility 9 [MIM:611015]
,,,
MFF,mitochondrial fission factor ,?,
,,,mutations
,,,
MFGE8,milk fat globule-EGF factor 8 protein ,15q25,
,,,mutations
,,,
MFHAS1,malignant fibrous histiocytoma amplified sequence 1 ,8p23.1,
,,,Malignant fibrous histiocytoma
,,,
MFI2,antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5 ,3q29,
,,,mutations
,,,
MFN2,mitofusin 2 ,1p36.2,
,,,"Charcot-Marie-Tooth disease, type 2A2 [MIM:609260]"
,,,Hereditary motor and sensory neuropathy VI [MIM:601152]
,,,
MFRP,membrane frizzled-related protein ,11q23,
,,,"Microphthalmia, isolated 5 [MIM:611040]"
,,,
MFSD2A,major facilitator superfamily domain containing 2A ,?,
,,,mutations
,,,
MFSD8,major facilitator superfamily domain containing 8 ,4q28.1-q28.2,
,,,"Ceroid lipofuscinosis, neuronal, 7 [MIM:610951]"
,,,
MFT2,"Trichoepithelioma, multiple familial, 2 ",9p21,
,,,"Trichoepithelioma, multiple familial, 2"
,,,
MGAM,maltase-glucoamylase (alpha-glucosidase) ,7q34,
,,,diarrhea in children associated with starch malabsorption and small intestinal glucoamylase deficiency
,,,
MGAT1,"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase ",5q35,
,,,mutations
,,,
MGAT2,"mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase ",14q21,
,,,"Congenital disorder of glycosylation, type IIa [MIM:212066]"
,,,
MGAT4C,"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative) ",12q21,
,,,mutations
,,,
MGC1,megalocornea 1 (X-linked) ,Xq21.3-q22,
,,,"Megalocornea, X-linked"
,,,
MGCT,male germ cell tumor ,12q22,
,,,Male germ cell tumor
,,,
MGEA5,meningioma expressed antigen 5 (hyaluronidase) ,10q24.1-q24.3,
,,,mutations
,,,
MGLL,monoglyceride lipase ,3p21.3,
,,,mutations
,,,
MGMT,O-6-methylguanine-DNA methyltransferase ,10q26,
,,,mutations
,,,
MGP,matrix Gla protein ,12p13.1-p12.3,
,,,Keutel syndrome [MIM:245150]
,,,Natural teeth remaining intact
,,,
MGR12,"Migraine, with or without aura, susceptibility to, 12 ",10q22-q23,
,,,"Migraine, with or without aura, susceptibility to, 12"
,,,
MGR2,"Migraine, familial typical, susceptibility to ",Xq,
,,,"Migraine, familial typical, susceptibility to, 1"
,,,
MGR3,"Migraine, familial, with or without aura, susceptibility to ",6p21.1-p12.2,
,,,"Migraine with or without aura, susceptibility to, 3"
,,,
MGR4,"Migraine, susceptibility to, 4 ",14q21.2-q22.3,
,,,"Migraine without aura, susceptibility to, 4"
,,,
MGR5,"Migraine with or without aura, susceptibility to, 5 ",19p13,
,,,"Migraine with or without aura, susceptibility to, 5"
,,,
MGR7,"Migraine with aura, susceptibility to, 7 ",15q11.2-q12,
,,,"Migraine with aura, susceptibility to, 7"
,,,
MGR8,"Migraine, susceptibility to, 8 ",5q21,
,,,"Migraine, susceptibility to, 8"
,,,
MGR9,"Migraine with aura, susceptibility to, 9 ",11q24,
,,,"Migraine with aura, susceptibility to, 9"
,,,
MGR,"Migraine, several forms ",1q31,
,,,"Migraine, familial hemiplegic"
,,,"Migraine with or without aura, susceptibility to"
,,,
MGST2,microsomal glutathione S-transferase 2 ,4q28-q31,
,,,mutations
,,,
MGST3,microsomal glutathione S-transferase 3 ,1q23,
,,,mutations
,,,
MGS,Mungen syndrome ,8q23-q24,
,,,Mungen syndrome
,,,
MHAC,microhydranencephaly ,16p13.3-p12.1,
,,,Microhydranencephaly
,,,
MHB,"myopathy, hyaline body, autosomal recessive ",3p22.2-p21.32,
,,,"Myopathy, hyaline body"
,,,
MHS2,malignant hyperthermia susceptibility 2 ,17q11.2-q24,
,,,Malignant hyperthermia susceptibility 2
,,,
MHS3,Malignant hyperthermia susceptibility 3 ,7q21-q22,
,,,Malignant hyperthermia susceptibility 3
,,,
MHS4,malignant hyperthermia susceptibility 4 ,3q13.1,
,,,Malignant hyperthermia susceptibility 4
,,,
MHS6,malignant hyperthermia susceptibility 6 ,5p,
,,,Malignant hyperthermia susceptibility 6
,,,
MHW1,Mental health wellness 1 ,4p,
,,,Mental health wellness-1
,,,
MHW2,Mental health wellness 2 ,4q,
,,,Mental health wellness-2
,,,
MIA3,"melanoma inhibitory activity family, member 3 ",1q42,
,,,mutations
,,,
MIAT,myocardial infarction associated transcript (non-protein coding) ,22q12.1,
,,,"Myocardial infarction, susceptibility to"
,,,
MICA,MHC class I polypeptide-related sequence A ,6p21.3,
,,,mutations
,,,
MICB,MHC class I polypeptide-related sequence B ,6p21.3,
,,,mutations
,,,
MICRODEL15Q13.3,Chromosome 15q13.3 microdeletion syndrome ,15q13.3,
,,,Chromosome 15q13.3 microdeletion syndrome
,,,
MICRODEL3Q29,Chromosome 3q29 microdeletion syndrome ,3q29,
,,,Chromosome 3q29 microdeletion syndrome
,,,
MID1,midline 1 (Opitz/BBB syndrome) ,Xp22,
,,,"Opitz G syndrome, type I [MIM:300000]"
,,,
MIF,macrophage migration inhibitory factor (glycosylation-inhibiting factor) ,22q11.2,
,,,"Rheumatoid arthritis, systemic juvenile, susceptibility to [MIM:604302]"
,,,
MIIP,migration and invasion inhibitory protein ,?,
,,,mutations
,,,
MINPP1,multiple inositol-polyphosphate phosphatase 1 ,10q23,
,,,"Thyroid carcinoma, follicular [MIM:188470]"
,,,
MIPOL1,mirror-image polydactyly 1 ,14q13,
,,,Mirror-image polydactyly [MIM:135750]
,,,
MIP,major intrinsic protein of lens fiber ,12q13,
,,,"Cataract, polymorphic and lamellar [MIM:604219]"
,,,
MIR106B,microRNA 106b ,7q22,
,,,mutations
,,,
MIR124-1,microRNA 124-1 ,8p23.1,
,,,mutations
,,,
MIR125A,microRNA 125a ,19q13.33,
,,,mutations
,,,
MIR126,microRNA 126 ,9q34.3,
,,,mutations
,,,
MIR140,microRNA 140 ,16q22.1,
,,,mutations
,,,
MIR146A,microRNA 146a ,5q33.3,
,,,mutations
,,,
MIR16-1,microRNA 16-1 ,13q14.3,
,,,mutations
,,,
MIR17HG,miR-17-92 cluster host gene (non-protein coding) ,13q31.3,
,,,mutations
,,,
MIR17,microRNA 17 ,13q31.3,
,,,mutations
,,,
MIR182,microRNA 182 ,7q32.2,
,,,mutations
,,,
MIR184,microRNA 184 ,15q25.1,
,,,mutations
,,,
MIR191,microRNA 191 ,?,
,,,mutations
,,,
MIR196A2,microRNA 196a-2 ,12q13,
,,,mutations
,,,
MIR206,microRNA 206 ,6p12.2,
,,,mutations
,,,
MIR24-1,microRNA 24-1 ,9q22.32,
,,,mutations
,,,
MIR27A,microRNA 27a ,19p13.12,
,,,mutations
,,,
MIR2861,microRNA 2861 ,9q34.11,
,,,Bone mineral density QTL 15 [MIM:613418]
,,,
MIR30C1,microRNA 30c-1 ,?,
,,,mutations
,,,
MIR34B,microRNA 34b ,?,
,,,mutations
,,,
MIR502,microRNA 502 ,?,
,,,mutations
,,,
MIR510,microRNA 510 ,?,
,,,mutations
,,,
MIR890,microRNA 890 ,?,
,,,mutations
,,,
MIR892B,microRNA 892b ,?,
,,,mutations
,,,
MIR934,microRNA 934 ,?,
,,,mutations
,,,
MIR96,microRNA 96 ,7q32.2,
,,,"Deafness, autosomal dominant 50 [MIM:613074]"
,,,
MIRLET7E,microRNA let-7e ,?,
,,,mutations
,,,
MITF,microphthalmia-associated transcription factor ,3p14.1-p12.3,
,,,"Waardenburg syndrome, type 2A [MIM:193510]"
,,,"Waardenburg syndrome/ocular albinism, digenic [MIM:103470]"
,,,Tietz albinism-deafness syndrome [MIM:103500]
,,,
MKKS,McKusick-Kaufman syndrome ,20p12,
,,,McKusick-Kaufman syndrome [MIM:236700]
,,,Bardet-Biedl syndrome 6 [MIM:209900]
,,,
MKL1,megakaryoblastic leukemia (translocation) 1 ,22q13,
,,,"Megakaryoblastic leukemia, acute"
,,,
MKS1,"Meckel syndrome, type 1 ",17q23,
,,,"Meckel syndrome, type 1 [MIM:249000]"
,,,Bardet-Biedl syndrome 13 [MIM:209900]
,,,
MLC1,megalencephalic leukoencephalopathy with subcortical cysts 1 ,22q13.33,
,,,Megalencephalic leukoencephalopathy with subcortical cysts [MIM:604004]
,,,
MLF1,myeloid leukemia factor 1 ,3q25.1,
,,,"Leukemia, acute myeloid [MIM:601626]"
,,,
MLH1,"mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli) ",3p21.3,
,,,"Colorectal cancer, hereditary nonpolyposis, type 2 [MIM:609310]"
,,,Mismatch repair cancer syndrome [MIM:276300]
,,,Muir-Torre syndrome [MIM:158320]
,,,
MLH3,mutL homolog 3 (E. coli) ,14q24.3,
,,,"Colorectal cancer, somatic [MIM:114500]"
,,,"Colon cancer, hereditary nonpolyposis, type 7"
,,,Endometrial cancer [MIM:608089]
,,,
MLL2,myeloid/lymphoid or mixed-lineage leukemia 2 ,12q12-q14,
,,,Kabuki syndrome [MIM:147920]
,,,
MLL3,myeloid/lymphoid or mixed-lineage leukemia 3 ,7q36,
,,,mutations
,,,
MLL5,"myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila) ",7q22,
,,,mutations
,,,
MLLT10,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 ",10p12,
,,,"Leukemia, acute myeloid [MIM:601626]"
,,,"Leukemia, acute T-cell lymphoblastic"
,,,
MLLT11,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11 ",1q21,
,,,"Leukemia, acute myelomonocytic"
,,,
MLLT3,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 ",9p22,
,,,mutations
,,,
MLL,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila) ",11q23,
,,,"Leukemia, myeloid/lymphoid or mixed-lineage"
,,,
MLPH,melanophilin ,2q37,
,,,"Griscelli syndrome, type 3 [MIM:609227]"
,,,
MLXIPL,MLX interacting protein-like ,7q11.23,
,,,mutations
,,,
MLYCD,malonyl-CoA decarboxylase ,16q24,
,,,Malonyl-CoA decarboxylase deficiency [MIM:248360]
,,,
MMAA,methylmalonic aciduria (cobalamin deficiency) cblA type ,4q31.1-q31.2,
,,,"Methylmalonic aciduria, vitamin B12-responsive [MIM:251100]"
,,,
MMAB,methylmalonic aciduria (cobalamin deficiency) cblB type ,12q24,
,,,"Methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblB complementation type [MIM:251110]"
,,,
MMACHC,"methylmalonic aciduria (cobalamin deficiency) cblC type, with homocystinuria ",1p34.1,
,,,"Methylmalonic aciduria and homocystinuria, cblC type [MIM:277400]"
,,,
MMADHC,"methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria ",2q23.2,
,,,"Homocystinuria, cblD type, variant 1 [MIM:277410]"
,,,"Methylmalonic aciduria, cblD type, variant 2 [MIM:277410]"
,,,"Methylmalonic aciduria and homocystinuria, cblD type [MIM:277410]"
,,,
MMDFS,Multiple mitochondrial dysfunctions syndrome ,2p14-p13,
,,,Multiple mitochondrial dysfunctions syndrome
,,,
MMDK,"Mesomelic dysplasia, Kantaputra type ",2q24-q32,
,,,"Mesomelic dysplasia, Kantaputra type"
,,,
MMEDF,Macrocephaly with multiple epiphyseal dysplasia and distinctive facies ,15q26.1,
,,,Macrocephaly with multiple epiphyseal dysplasia and distinctive facies
,,,
MMEL1,membrane metallo-endopeptidase-like 1 ,?,
,,,mutations
,,,
MME,membrane metallo-endopeptidase ,3q21-q27,
,,,Neutral endopeptidase deficiency
,,,"Membranous glomerulonephritis, antenatal"
,,,
MMP10,matrix metallopeptidase 10 (stromelysin 2) ,11q22.3-q23,
,,,mutations
,,,
MMP12,matrix metallopeptidase 12 (macrophage elastase) ,11q22.2-q22.3,
,,,mutations
,,,
MMP13,matrix metallopeptidase 13 (collagenase 3) ,11q22.3,
,,,"Spondyloepimetaphyseal dysplasia, Missouri type [MIM:602111]"
,,,Metaphyseal anadysplasia 1 [MIM:602111]
,,,
MMP14,matrix metallopeptidase 14 (membrane-inserted) ,14q11-q12,
,,,mutations
,,,
MMP1,matrix metallopeptidase 1 (interstitial collagenase) ,11q22-q23,
,,,"COPD, rate of decline of lung function in [MIM:606963]"
,,,"Epidermolysis bullosa dystrophica, autosomal recessive, modifier of [MIM:226600]"
,,,
MMP20,matrix metallopeptidase 20 ,11q22.3-q23,
,,,"Amelogenesis imperfecta, type IIA2 [MIM:612529]"
,,,
MMP2,"matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase) ",16q13,
,,,Torg-Winchester syndrome [MIM:259600]
,,,
MMP3,"matrix metallopeptidase 3 (stromelysin 1, progelatinase) ",11q23,
,,,"Coronary heart disease, susceptibility to, 6"
,,,
MMP7,"matrix metallopeptidase 7 (matrilysin, uterine) ",11q21-q22,
,,,mutations
,,,
MMP8,matrix metallopeptidase 8 (neutrophil collagenase) ,11q21-q22,
,,,mutations
,,,
MMP9,"matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase) ",20q11.2-q13.1,
,,,Metaphyseal anadysplasia 2 [MIM:613073]
,,,
MMRFCGU,"Microcephaly, mental retardation, and distinctive facies, with cardiac and genitourinary malformations ",16p13.3,
,,,"Microcephaly, mental retardation, and distinctive facies, with cardiac and genitourinary malformations"
,,,
MMS,"Malignant mesothelioma, susceptibility to ",9p,
,,,"Malignant mesothelioma, susceptibility to"
,,,
MMVP1,myxomatous mitral valve prolapse 1 ,16p12.1-p11.2,
,,,"Mitral valve prolapse, myxomatous 1"
,,,
MMVP2,myxomatous mitral valve prolapse 2 ,11p15.4,
,,,"Mitral valve prolapse, myxomatous 2"
,,,
MMVP3,"Mitral valve prolapse, myxomatous 3 ",13q31.3-q32.1,
,,,"Mitral valve prolapse, myxomatous 3"
,,,
MN1,meningioma (disrupted in balanced translocation) 1 ,22q12.3-qter,
,,,Meningioma [MIM:607174]
,,,
MNDEC,Microtia with nasolacrimal duct imperforation and eye coloboma ,4p16-p15,
,,,Microtia with nasolacrimal duct imperforation and eye coloboma
,,,
MNG1,multinodular goitre 1 ,14q,
,,,"Goiter, multinodular, 1"
,,,
MNG2,multinodular goiter 2 ,Xp22,
,,,"Goiter, multinodular, 2"
,,,
MNG3,Multinodular goiter-3 ,3q26.1-q26.3,
,,,"Goiter, multinodular, 3"
,,,
MNRI,"meningioma, radiation-induced ",1p11,
,,,"Meningioma, radiation-induced"
,,,
MNX1,motor neuron and pancreas homeobox 1 ,7q36,
,,,Currarino syndrome [MIM:176450]
,,,
MOCOS,molybdenum cofactor sulfurase ,18q12.2,
,,,mutations
,,,
MOCS1,molybdenum cofactor synthesis 1 ,6p21.3,
,,,"Molybdenum cofactor deficiency, type A [MIM:252150]"
,,,
MOCS2,molybdenum cofactor synthesis 2 ,5q11,
,,,"Molybdenum cofactor deficiency, type B [MIM:252150]"
,,,
MOGS,mannosyl-oligosaccharide glucosidase ,2p13-p12,
,,,"Congenital disorder of glycosylation, type IIb [MIM:606056]"
,,,
MOG,myelin oligodendrocyte glycoprotein ,6p21.3,
,,,mutations
,,,
MOK,MOK protein kinase ,14q32,
,,,mutations
,,,
MOPCB1,"Microphthalmia, colobomatous, 1 ",X,
,,,Microphthalmia with coloboma 1
,,,
MOPCB2,"Microphthalmia, colobomatous, 2 ",15q12-q15,
,,,Microphthalmia with coloboma 2
,,,
MPD3,"Myopathy, distal 3 ",8p22-q11,
,,,"Myopathy, distal 3"
,,,
MPDMRS,Martin-Probst deafness-mental retardation syndrome ,Xq11-q21,
,,,Martin-Probst deafness-mental retardation syndrome
,,,
MPDU1,mannose-P-dolichol utilization defect 1 ,17p13.1-p12,
,,,"Congenital disorder of glycosylation, type If [MIM:609180]"
,,,
MPDZ,multiple PDZ domain protein ,9p24-p22,
,,,mutations
,,,
MPFD,myopathy with fiber type disproportion ,9p13-p12,
,,,Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia [MIM:167320]
,,,
MPG,N-methylpurine-DNA glycosylase ,16pter-p13.3,
,,,mutations
,,,
MPHOSPH8,M-phase phosphoprotein 8 ,13q12.11,
,,,mutations
,,,
MPI,mannose phosphate isomerase ,15q22-qter,
,,,"Congenital disorder of glycosylation, type Ib [MIM:602579]"
,,,
MPLKIP,M-phase specific PLK1 interacting protein ,7p14,
,,,"Trichothiodystrophy, nonphotosensitive 1 [MIM:234050]"
,,,
MPL,myeloproliferative leukemia virus oncogene ,1p34,
,,,"Thrombocytopenia, congenital amegakaryocytic [MIM:604498]"
,,,"Thrombycytosis, susceptibility to [MIM:187950]"
,,,"Thrombocythemia, essential [MIM:187950]"
,,,
MPO,myeloperoxidase ,17q23.1,
,,,Myeloperoxidase deficiency [MIM:254600]
,,,"Alzheimer disease, susceptibility to [MIM:104300]"
